Data,Regiao,Produto,Vendedor,Qtd_Vendida,Receita,Custo,Lucro
2022-01-31,Nordeste,Notebook,Daniela,22,74053.33,44593.53,29459.800000000003
2022-01-31,Nordeste,Smartphone,Carlos,15,28507.18,20044.43,8462.75
2022-01-31,Nordeste,Impressora,Eduardo,12,25688.06,14523.2,11164.86
2022-01-31,Nordeste,Monitor,Daniela,69,67182.98,36964.61,30218.369999999995
2022-01-31,Nordeste,Headset,Bruno,73,111557.9,88491.7,23066.199999999997
2022-01-31,Sudeste,Notebook,Carlos,79,87773.01,46501.32,41271.689999999995
2022-01-31,Sudeste,Smartphone,Fernanda,68,160729.97,99432.43,61297.54000000001
2022-01-31,Sudeste,Impressora,Fernanda,63,73192.03,47308.06,25883.97
2022-01-31,Sudeste,Monitor,Bruno,41,196867.02,116976.42,79890.59999999999
2022-01-31,Sudeste,Headset,Fernanda,72,358333.98,237795.57,120538.40999999997
2022-01-31,Sul,Notebook,Eduardo,81,261706.79,142754.59,118952.20000000001
2022-01-31,Sul,Smartphone,Ana,26,76344.69,41702.79,34641.9
2022-01-31,Sul,Impressora,Ana,17,49940.42,36385.12,13555.299999999996
2022-01-31,Sul,Monitor,Carlos,91,225860.73,133415.93,92444.80000000002
2022-01-31,Sul,Headset,Eduardo,55,71349.8,46536.76,24813.04
2022-01-31,Centro-Oeste,Notebook,Daniela,25,121221.96,80892.94,40329.020000000004
2022-01-31,Centro-Oeste,Smartphone,Carlos,5,15560.52,8430.05,7130.470000000001
2022-01-31,Centro-Oeste,Impressora,Carlos,17,56406.93,36476.63,19930.300000000003
2022-01-31,Centro-Oeste,Monitor,Carlos,21,79917.61,47163.13,32754.480000000003
2022-01-31,Centro-Oeste,Headset,Fernanda,28,92203.22,51670.1,40533.12
2022-01-31,Norte,Notebook,Eduardo,12,8130.81,5225.38,2905.4300000000003
2022-01-31,Norte,Smartphone,Daniela,23,25200.54,17083.56,8116.98
2022-01-31,Norte,Impressora,Bruno,15,31358.6,19992.36,11366.239999999998
2022-01-31,Norte,Monitor,Fernanda,25,96409.25,64092.56,32316.690000000002
2022-01-31,Norte,Headset,Eduardo,85,302889.13,193859.53,109029.6
2022-02-28,Nordeste,Notebook,Bruno,16,77811.76,61061.5,16750.259999999995
2022-02-28,Nordeste,Smartphone,Bruno,52,47919.35,34807.96,13111.39
2022-02-28,Nordeste,Impressora,Fernanda,59,129150.09,75647.74,53502.34999999999
2022-02-28,Nordeste,Monitor,Ana,66,259254.06,159690.69,99563.37
2022-02-28,Nordeste,Headset,Carlos,68,184651.6,124304.45,60347.15000000001
2022-02-28,Sudeste,Notebook,Carlos,57,280059.64,174274.19,105785.45000000001
2022-02-28,Sudeste,Smartphone,Carlos,51,200959.13,135056.33,65902.80000000002
2022-02-28,Sudeste,Impressora,Eduardo,39,54683.28,29134.12,25549.16
2022-02-28,Sudeste,Monitor,Daniela,49,121332.53,91495.73,29836.800000000003
